small_letters,capital_letters,spaces,digits,",",.,@,(,),!,-,?,%,&,#,_,=,;,:,/,author
57874,5034,8717,1196,85,863,970,5,27,403,258,131,4,19,1601,137,34,9,478,1968,0
57298,3738,12474,872,358,1028,324,104,172,226,238,144,4,10,556,26,6,32,320,642,0
13293,940,2066,689,24,347,31,1,1,36,211,62,10,4,5,27,10,0,188,615,0
6508,648,714,650,4,170,58,4,4,0,160,44,0,56,52,100,100,0,72,222,0
16496,1524,2482,664,38,358,588,12,156,592,92,70,4,10,100,96,16,104,256,488,0
2446,254,410,58,10,42,44,2,4,30,34,4,0,2,20,8,2,2,30,56,0
6533,499,1254,79,17,171,38,5,7,13,38,15,3,5,10,13,2,0,58,172,0
63442,7244,12796,3023,388,1622,527,83,141,513,644,108,4,131,516,46,1,24,925,2094,0
36564,4443,7221,576,152,509,572,15,22,444,137,94,2,44,645,36,7,1,407,656,0
29408,3322,4704,1316,146,772,402,30,36,268,176,78,4,18,358,68,12,4,482,1264,0
91817,7831,18062,2201,282,3868,32,17,17,65,152,67,1,36,4,2,1,1,1992,2947,0
66033,8362,9748,2338,121,1556,670,24,24,185,871,142,6,36,412,100,31,2,1130,3099,0
83367,9402,16263,1489,390,2134,240,335,254,442,414,128,11,42,461,24,24,12,1213,1988,0
9579,1031,1739,522,33,309,16,13,13,53,88,51,5,15,3,19,19,0,126,358,0
10310,801,1855,225,63,214,72,16,39,116,156,15,3,3,48,8,3,3,142,323,0
5884,530,958,114,32,74,114,2,4,14,74,10,2,4,18,12,10,2,40,104,0
72454,7470,11486,2883,250,1801,455,88,144,209,870,166,6,45,316,53,95,4,1268,3103,0
8604,754,1402,234,36,208,108,22,24,6,178,18,18,2,22,36,2,2,58,150,0
2153,472,412,238,3,94,2,0,1,17,4,2,0,0,26,0,0,0,162,328,0
1344,118,178,72,14,52,4,2,2,2,22,0,0,0,6,0,8,0,16,62,0
5993,491,1000,151,19,107,54,3,3,40,59,6,0,1,15,4,2,0,56,172,0
39992,2592,6924,1296,229,863,384,22,23,104,378,84,129,48,480,105,47,4,193,564,0
70078,5449,12954,1208,258,1422,1076,92,206,740,298,210,2,30,372,229,24,23,739,1577,0
4978,518,1073,150,23,149,0,0,0,26,11,9,0,0,0,0,0,0,57,159,0
5232,476,984,88,40,166,62,4,6,44,48,26,0,0,14,20,2,2,44,110,0
6715,1008,1372,199,81,303,2,2,2,33,33,22,0,0,0,0,1,0,175,277,0
50872,3714,10568,644,266,1164,605,76,116,299,197,84,0,102,94,139,0,22,323,703,0
49295,7108,10108,1848,254,1068,356,9,14,55,179,47,0,36,127,7,2,10,759,1926,0
11992,1004,1592,732,78,592,66,6,12,134,210,58,6,16,96,76,36,4,168,526,0
11348,901,2001,508,57,248,141,19,35,30,143,22,6,18,66,38,13,9,145,291,0
