Such a sweet painting! Happy to sell a giclee of it! http://fb.me/1uPPiRMne&nbsp;
Unnamed Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/tCXe9&nbsp;
Red Desert Horse by A Texas Artist Laurie Pace http://nblo.gs/tFrfs&nbsp;
Arabians in the Desert Progression Horse Painting By A Texas Artist Laurie Pace http://nblo.gs/tHP2z&nbsp;
Arabians in the Desert Progression Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/tK8uG&nbsp;
Arabian Gold, Horse Painting of Four Black Arabian Horses by A Texas Artist Laurie Pace http://nblo.gs/tO2g6&nbsp;
Arabian Gold in Progress Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/tQb9n&nbsp;
Arabian Gold Horse Painting, by A Texas Artist Laurie Pace http://nblo.gs/tRN9g&nbsp;
Appaloosa Sketch from my Book, A Texas Artist Laurie Pace http://nblo.gs/tU4g0&nbsp;
Bear and Fish Sketch by A Texas Artist Laurie Pace http://nblo.gs/tXn2P&nbsp;
Roses Heart to Heart by A Texas Artist Laurie Pace http://nblo.gs/u0kL8&nbsp;
Looking to the Light I am Free, Horse Sketch by A Texas Artist Laurie Pace http://nblo.gs/u2Kui&nbsp;
Midnight Sun Dance24 x 30 Oil on Canvas    ©Laurie Pace    Graphics One Design 1998-2012  Contact me for your own co... http://nblo.gs/u6JI0&nbsp;
Fresh from the studio today!  Visit the painting and close ups at... http://fb.me/BgXNt2af&nbsp;
Another Collection starter at $199. http://fb.me/1IfuKfPVS&nbsp;
The Progression of a Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/u8Dqk&nbsp;
Tales of Texas in progress... 8 x 10 oil on Panel hopefully finished tomorrow. Painted three or four hours today.... http://fb.me/I0WZMtbD&nbsp;
Old Tales of Texas, Cowboy Painting by A Texas Artist Laurie Pace http://nblo.gs/u9Tjo&nbsp;
Pony Up 1 by A Texas Artist Laurie Pace, Horse Paintings and Equine Art for Sale http://nblo.gs/ufmu5&nbsp;
Flower Pop, Flower Painting by A Texas Artist Laurie Pace http://nblo.gs/uinJQ&nbsp;
HORSE PAINTING GIVE AWAY BY A TEXAS ARTIST LAURIE PACE http://nblo.gs/umpR8&nbsp;
Blue Horse  Painting by A Texas Artist Laurie Pace http://nblo.gs/urE5C&nbsp;
The Journey of Three Arabians, Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/utycf&nbsp;
Cypress Watering Hole Horse Painting by Texas Artist Laurie Pace http://nblo.gs/uEWEn&nbsp;
Three at the Watering Hole, Signature Painted Pony, Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/uI9kM&nbsp;
This is the beginning stages for a commission painting I am doing for a client in the UK.  We went through four... http://fb.me/1M53Lu3Ku&nbsp;
Progression of Arabian Horse Painting Equine Art by A Texas Artist Laurie Pace http://nblo.gs/uKahv&nbsp;
Progression on Three Arabian Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/uNhVH&nbsp;
Arabian Horse Painting in Progress by A Texas Artist Laurie Pace http://nblo.gs/uOtiW&nbsp;
http://pinterest.com/pin/54958057922758496/&nbsp;… http://issuu.com/CFAI.co/docs/visual_language_april_2012_cfai.co/1&nbsp;…    This is our Second Edition of Visual Language.. ENJOY!
Spirt With Us is finished. I completed the collector single edition hard back book today that will mail out with... http://fb.me/W1lvAK4c&nbsp;
Spirit With Us, Three Arabian Horses Painting by A Texas Artist Laurie Pace http://nblo.gs/uSpma&nbsp;
Moose Art on Paper by A Texas Artist Laurie Pace http://nblo.gs/uV23k&nbsp;
Early Sunflowers, Oil Painting of Yellow Sunflowers by Texas Artist Laurie Pace http://nblo.gs/uXqEy&nbsp;
Currently reading http://issuu.com/CFAI.co/docs/visual_language_vol_2_april_2012_cfai/1&nbsp;… NEW Magazine is out. Liz Hill is on the cover.
Winter Appaloosa Lights by A Texas Artist Laurie Pace http://nblo.gs/uZvra&nbsp;
Determined, Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/v2kMe&nbsp;
Tomorrow morning, MONDAY, will be a small horse painting giveaway posted on my blog.  Visit the blog for the link... http://fb.me/18xYeGO4K&nbsp;
BLUE HORSE Painting Giveaway, by a Texas Artist Laurie Pace http://nblo.gs/v45yy&nbsp;
Trotter, Horse drawing on Paper, by a Texas Artist Laurie Pace http://nblo.gs/v6x1x&nbsp;
Moonlight Crossing Horse Painting by Texas Artist Laurie Pace http://nblo.gs/v9bBF&nbsp;
Beginnings of a new abstract painting by A Texas Artist Laurie Pace http://nblo.gs/vcuzn&nbsp;
Progression of Abstract Painting by Texas Artist Laurie Pace http://nblo.gs/veQsj&nbsp;
The Abstract Painting Continues by Texas Artist Laurie Pace http://nblo.gs/vgUsi&nbsp;
Mason&#39;s Abstract Painting by Texas Artist Laurie Pace http://nblo.gs/vj9BA&nbsp;
Daiden&#39;s Canvas Abstract Painting by Texas Artist Laurie Pace http://nblo.gs/vllAm&nbsp;
Elijah&#39;s Panel Abstract Painting by A Texas Artist Laurie Pace http://nblo.gs/vnweE&nbsp;
Girl on Sand Painting Figurative Art by A Texas Artist Laurie Pace http://nblo.gs/vq6zV&nbsp;
Horse Painting in Progress by A Texas Artist Laurie Pace http://nblo.gs/vtzjq&nbsp;
Progress on Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/vwyfn&nbsp;
Leap of Faith, abstract Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/vAG2T&nbsp;
Three at the Watering Hole, Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/vCJeB&nbsp;
Dog and Cat Portrait in colors by Texas Artist Laurie Pace http://nblo.gs/vFHPU&nbsp;
Cat and Dog Painting Portrait Progression by A Texas Artist Laurie Pace http://nblo.gs/vIegx&nbsp;
Progression Dog and Cat Painting by A Texas Artist Laurie Pace http://nblo.gs/vL6iO&nbsp;
Cat and Dog Painting by A Texas Artist Laurie Pace http://nblo.gs/vOpL2&nbsp;
Where were you when they crucified my Lord? Painting of my Heart, A Texas Artist Laurie Pace http://nblo.gs/vShpe&nbsp;
Dog and Cat portrait almost done! By A Texas Artist Laurie Pace http://nblo.gs/vUS06&nbsp;
Cat and Dog portrait by A Texas Artist Laurie Pace http://nblo.gs/vXGqt&nbsp;
Coco and Lucky Portrait complete by A Texas Artist Laurie Pace http://nblo.gs/w0guU&nbsp;
Snowball Horse Painting by Texas Artist Laurie Pace http://nblo.gs/w2M5J&nbsp;
Shhh...the new issue was released FIVE days early. Nancy Medina is our cover artist; catch the art review of Utah...http://fb.me/1v7tLyyO9&nbsp;
Todays Horse Contest Give Away requires you to submit an email to me. Sheriff Paul Fletcher will draw the winning... http://fb.me/1s9w9a4KV&nbsp;
Snowball by Lady L, Texas Artist Laurie Pace http://nblo.gs/w6hzB&nbsp;
Beginnings for Lady L, Her first REAL Painting.  Proud Oma, Laurie Pace http://nblo.gs/w8HnL&nbsp;
Flower Painting on Blue by Lady L, Mini Me of Oma, Texas Artist Laurie Pace http://nblo.gs/wa8H8&nbsp;
This painting was almost complete when I decided to scrape the canvas last week... stay tuned and next post will... http://fb.me/1wmVExIy0&nbsp;
This is OLD RED appearing from a scraped canvas... which is really pretty cool with the undertones coming... http://fb.me/1hfdCsLmj&nbsp;
Three Horses on the Bridge, Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/wbOEA&nbsp;
Working on a longhorn today for my Dallas Art Gallery. http://fb.me/19JC7uWDX&nbsp;
Old Red Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/wfnIo&nbsp;
Mid Morning Get Away Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/whV6k&nbsp;
Longhorn in Progress, Longhorn Bevo Painting by Texas Artist Laurie Pace http://nblo.gs/wkqCW&nbsp;
INTO THE LIGHT will be at Mirada Fine Art in about a month. 28 x 42 inches of thick palette knife oil. I can send... http://fb.me/GtOL1Jti&nbsp;
This is my Horse Book for 2012. http://fb.me/1SwccE2Lp&nbsp;
Into the Light Contemporary Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/wqg4I&nbsp;
